"ParamClassID","param","WQIClass","Glacial","Criterion","Start Month","End Month","LowerResult","UpperResult","a","b","b2","Comments","...14"
51,"FC","Primary","FALSE",100,1,13,0,999999,103.59,0.810055,-1.28485,"WQI=LN(x)",NA
52,"FC","Secondary","FALSE",200,1,13,0,999999,102.944,2.59723,-1.30612,"WQI=LN(x)",NA
53,"FC","Extraordinary","FALSE",50,1,13,0,999999,103.05,-0.5832,-1.35641,"WQI=LN(x)",NA
21,"Oxygen","Spawning","FALSE",8,1,13,0,12,-67.0255,27.5473,-1.14663,NA,NA
21,"Oxygen","Spawning","FALSE",8,1,13,12.001,99,100,0,0,NA,NA
22,"Oxygen","Rearing","FALSE",6.5,1,13,0,8.5,-109.509,43.6529,-2.23081,NA,NA
22,"Oxygen","Rearing","FALSE",6.5,1,13,8.501,99,100,0,0,NA,NA
23,"Oxygen","Char","FALSE",9.5,1,13,12.501,99,100,0,0,NA,NA
23,"Oxygen","Char","FALSE",9.5,1,13,0,12.5,-130.7,33.81,-1.22397,NA,NA
24,"Oxygen","S1","FALSE",8,9.5,13,12.001,99,100,0,0,NA,NA
24,"Oxygen","S1","FALSE",8,9.5,13,0,12,-67.0255,27.5473,-1.14663,NA,NA
24,"Oxygen","S1","FALSE",5,6,9.5,7.501,99,100,0,0,NA,NA
24,"Oxygen","S1","FALSE",5,6,9.5,0,7.5,-64.4444,42.7778,-2.7778,"Limited to >5.0 Jun1 through Sep15. (This evaluates ALL of Sep against 5.0 criterion)",NA
24,"Oxygen","S1","FALSE",8,1,6,0,12,-67.0255,27.5473,-1.14663,NA,NA
24,"Oxygen","S1","FALSE",8,1,6,12.001,99,100,0,0,NA,NA
25,"Oxygen","S2","FALSE",5,1,13,0,7.5,-64.4444,42.7778,-2.7778,"Limited to >5.0  year round",NA
25,"Oxygen","S2","FALSE",5,1,13,7.501,99,100,0,0,NA,NA
26,"Oxygen","Core","FALSE",9.5,1,13,0,12.5,-130.7,33.81,-1.22397,NA,NA
26,"Oxygen","Core","FALSE",9.5,1,13,12.5,99,100,0,0,NA,NA
41,"pH","All Uses","FALSE",8.5,1,13,7.501,9.9,-339.162,128.627,-9.33089,NA,NA
41,"pH","All Uses","FALSE",6.5,1,13,4,7.5,-531.622,158.619,-9.92672,NA,NA
81,"SUSSOL","1","No",0,1,6,0,999999,100.7321,-5.17377,-1.31478,"WQI=LN(x)",NA
81,"SUSSOL","1","No",0,6,11,0,999999,102.3444,-19.28875,0.087332,"WQI=LN(x)",NA
81,"SUSSOL","1","No",0,11,13,0,999999,100.7321,-5.17377,-1.31478,"WQI=LN(x)",NA
82,"SUSSOL","2","No",0,1,6,0,999999,100.7779,1.47273,-2.16014,"WQI=LN(x)",NA
82,"SUSSOL","2","No",0,6,11,0,999999,109.9171,-11.2787,-0.698103,"WQI=LN(x)",NA
82,"SUSSOL","2","No",0,11,13,0,999999,100.7779,1.47273,-2.16014,"WQI=LN(x)",NA
83,"SUSSOL","4","No",0,1,6,0,999999,100.9078,-7.1956,-2.26536,"WQI=LN(x)",NA
83,"SUSSOL","4","No",0,6,11,0,999999,102.5005,-26.039,-0.768096,"WQI=LN(x)",NA
83,"SUSSOL","4","No",0,11,13,0,999999,100.9078,-7.1956,-2.26536,"WQI=LN(x)",NA
84,"SUSSOL","7","No",0,1,6,0,999999,101.1482,-4.23136,-1.33006,"WQI=LN(x)",NA
84,"SUSSOL","7","No",0,6,11,0,999999,100.2034,8.49706,-5.17937,"WQI=LN(x)",NA
